Fine,Coarse,Carb,Carb-transect
1.026,0.05,2.417376182,1
0.468,0.03,2.720077683,1
2.031,0.03,0.618009352,1
2.138,0.12,2.777802608,1
0.676,0.06,1.092042091,1
0.943,0.06,2.740035498,1
0.939,0.43,1.662369565,1
0.772,0.64,1.145983373,1
0.644,0.45,2.071042503,1
0.47,0.8,0.532455631,1
0.952,0.3,1.07676165,2
0.487,0.45,4.45257612,2
0.922,0.3,3.765306214,2
0.81,0.15,7.073871801,2
0.843,1.2,2.953086123,2
1.574,1,4.196096548,2
1.781,0.03,3.961396218,2
2.374,0.06,3.493189526,2
1.076,0.03,2.637444407,2
1.421,2,1.207908543,2
1.367,1,2.124065737,2
0.257,1.2,1.121028585,2
0.286,0.2,3.260974739,2
0.754,0.25,2.764509542,2
0.76,0.42,2.896514754,2
0.243,0.13,,
0.402,,,
0.518,,,
0.668,,,
0.98,,,
0.333,,,
0.93,,,
0.808,,,
1.02,,,
1.18,,,
0.455,,,
0.998,,,
0.416,,,
0.485,,,
0.747,,,
0.857,,,
0.902,,,
0.658,,,
0.574,,,
0.663,,,
0.792,,,
2.369,,,
1.26,,,
1.543,,,
1.052,,,
2.675,,,
0.874,,,
