Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,5,DFC_5,1,y1,-16.567,5.105,-0.253,ctrl    ,0,0,2.61,0.822,-5.13244632394284,0
DFC,5,DFC_5,2,y2,-15.01,9.029,-0.8,c4    ,0,3.924,2.063,0.822,-1.01419557764144,4.11825074630139
DFC,5,DFC_5,3,y3,-14.563,10.119,-1.162,c4    ,0,5.014,1.701,0.822,0.137944027620133,5.27039035156297
DFC,5,DFC_5,4,y4,-14.651,10.689,-1.42,c4    ,0,5.584,1.443,0.822,0.558902753580204,5.69134907752304
DFC,5,DFC_5,5,y5,-13.814,12.572,-1.73,c3    ,0,7.467,1.133,0.822,2.585809689706,7.71825601364884
DFC,5,DFC_5,6,y6,-12.587,14.62,-1.964,c3    ,0,9.515,0.899,0.822,4.96898806874932,10.1014343926922
DFC,5,DFC_5,7,y7waterline,-12.588,15.248,-2.041,c3    ,1,10.143,0.822,0.822,5.48691974534275,10.6193660692856
DFC,5,DFC_5,8,y8,-11.792,15.988,-2.28,c3    ,1,10.883,0.583,0.822,6.54699847470603,11.6794447986489
DFC,5,DFC_5,9,y9,-9.624,18.926,-2.454,c2    ,1,13.821,0.409,0.822,10.1959107885586,15.3283571125014
DFC,5,DFC_5,10,y10,-5.815,21.726,-2.463,c1    ,1,16.621,0.4,0.822,14.6567569386295,19.7892032625724
DFC,5,DFC_5,11,y11,-3.98,23.556,-2.687,c1    ,1,18.451,0.176,0.822,17.2029883943857,22.3354347183285
DFC,5,DFC_5,12,y12,-3.258,25.686,-2.59,c1    ,1,20.581,0.273,0.822,19.3689417324067,24.5013880563496
DFC,5,DFC_5,13,y13,-2.341,27.305,-2.734,c1    ,1,22.2,0.129,0.822,21.2230191525612,26.355465476504
DFC,5,DFC_5,14,y14,-1.402,28.674,-2.821,c1    ,1,23.569,0.0419999999999998,0.822,22.8831016237825,28.0155479477253
DFC,5,DFC_5,15,y15,-0.794,30.426,-2.863,c1    ,1,25.321,0,0.822,24.6726465782898,29.8050929022326
DFC,5,DFC_5,16,y16,-0.533,31.137,-2.732,cob    ,1,26.032,0.131,0.822,25.406928952208,30.5393752761508
DFC,5,DFC_5,17,y17waterline,0.623,33.176,-2.058,cob    ,1,28.071,0.805,0.822,27.7426176516163,32.8750639755591
DFC,5,DFC_5,18,y18,3.183,37.217,-0.905,cob    ,0,32.112,1.958,0.822,32.5233711414337,37.6558174653765
