Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,4,,1,208 above w,60.285,-35.86,0.457,cb    ,0,1.873,-12.68319049,0
DFSS2,4,,2,207 waterline,59.259,-36.994,-0.411,cb    ,1,1.005,-11.15415298,1.529037506
DFSS2,4,,3,206,57.06,-39.215,-0.998,bd    ,1,0.418,-8.034705053,4.648485436
DFSS2,4,,4,205,55.344,-41.456,-1.095,bd    ,1,0.321,-5.218113906,7.465076582
DFSS2,4,,5,204,54.373,-42.904,-0.899,bd    ,1,0.517,-3.488886667,9.194303821
DFSS2,4,,6,203,53.354,-44.147,-0.936,bd    ,1,0.48,-1.882397284,10.8007932
DFSS2,4,,7,202,52.945,-44.632,-0.73,bd    ,1,0.686,-1.248064663,11.43512583
DFSS2,4,,8,201,50.962,-46.43,-0.791,bd    ,1,0.625,1.410760364,14.09395085
DFSS2,4,,9,200,48.981,-48.262,-0.867,bd    ,1,0.549,4.093865464,16.77705595
DFSS2,4,,10,199,47.86,-50.051,-1.015,bd    ,1,0.401,6.178541305,18.86173179
DFSS2,4,,11,198,46.45,-51.733,-1.052,bd    ,1,0.364,8.372885061,21.05607555
DFSS2,4,,12,197,45.867,-52.58,-1.237,bd    ,1,0.179,9.394272823,22.07746331
DFSS2,4,,13,196,45.439,-53.364,-1.416,bd    ,1,0,10.26620986,22.94940035
DFSS2,4,,14,195,44.117,-54.232,-1.271,cb    ,1,0.145,11.78982151,24.473012
DFSS2,4,,15,194,42.623,-55.787,-1.041,cb    ,1,0.375,13.94384418,26.62703467
DFSS2,4,,16,193,41.832,-56.627,-0.817,bd    ,1,0.599,15.09686894,27.78005943
DFSS2,4,,17,192,41.333,-57.685,-0.895,bd    ,1,0.521,16.22181617,28.90500666
DFSS2,4,,18,191 waterline,40.009,-58.79,-0.459,cb    ,1,0.957,17.92516679,30.60835728
DFSS2,4,,19,190 above wl,38.819,-60.642,-0.09,cb    ,0,1.326,20.10268764,32.78587812
DFSS2,4,,20,189 above wl,36.85,-62.726,0.162,cb    ,0,1.578,22.96760939,35.65079988
