Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,10,DFSS_10,1,83,1.92,6.395,0.341,cob,0,1.652,-6.395,0
DFSS,10,DFSS_10,2,84,2.029,5.233,-0.119,cob,0,1.192,-5.233,1.162
DFSS,10,DFSS_10,3,85,1.378,1.199,-0.128,cob,0,1.183,-1.199,5.196
DFSS,10,DFSS_10,4,86,1.38,1.2,-0.128,br,0,1.183,-1.2,5.195
DFSS,10,DFSS_10,5,87,1.129,-0.432,-0.067,br,0,1.244,0.432,6.827
DFSS,10,DFSS_10,6,88,0.198,-2.922,-0.24,br,0,1.071,2.922,9.317
DFSS,10,DFSS_10,7,89w,0.15,-3.057,-0.273,br,0,1.038,3.057,9.452
DFSS,10,DFSS_10,8,90w,0.15,-3.052,-0.272,br,1,1.039,3.052,9.447
DFSS,10,DFSS_10,9,91,-0.235,-4.743,-0.427,br,1,0.884,4.743,11.138
DFSS,10,DFSS_10,10,92,-0.243,-6.17,-0.522,br,1,0.789,6.17,12.565
DFSS,10,DFSS_10,11,93,-1.228,-8.901,-0.713,br,1,0.598,8.901,15.296
DFSS,10,DFSS_10,12,94,-0.967,-11.039,-0.818,br,1,0.493,11.039,17.434
DFSS,10,DFSS_10,13,95,-1.635,-13.056,-0.783,cob,1,0.528,13.056,19.451
DFSS,10,DFSS_10,14,96,-2.264,-15.111,-0.917,cob,1,0.394,15.111,21.506
DFSS,10,DFSS_10,15,97,-3.136,-17.913,-1.291,br,1,0.02,17.913,24.308
DFSS,10,DFSS_10,16,98,-2.687,-19.914,-1.196,br,1,0.115,19.914,26.309
DFSS,10,DFSS_10,17,99,-3.278,-21.562,-1.182,br,1,0.129,21.562,27.957
DFSS,10,DFSS_10,18,100,-3.683,-23.913,-0.984,br,1,0.327,23.913,30.308
DFSS,10,DFSS_10,19,101,-4.026,-25.198,-0.363,cob,1,0.948,25.198,31.593
DFSS,10,DFSS_10,20,102,-4.202,-28.38,-0.877,cob,1,0.434,28.38,34.775
DFSS,10,DFSS_10,21,103,-4.681,-30.69,-1.023,cob,1,0.288,30.69,37.085
DFSS,10,DFSS_10,22,104,-5.318,-32.878,-1.311,br,1,0,32.878,39.273
DFSS,10,DFSS_10,23,105,-5.481,-34.61,-1.123,br,1,0.188,34.61,41.005
DFSS,10,DFSS_10,24,106,-6.283,-36.279,-0.935,cob,1,0.376,36.279,42.674
DFSS,10,DFSS_10,25,107w,-7.105,-38.267,-0.295,cob,1,1.016,38.267,44.662
DFSS,10,DFSS_10,26,108,-6.772,-42.818,0.097,cob,0,1.408,42.818,49.213
