Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_X,Normalized_Z,Water,X_adj,Position
DFC,3,DFC_3,1,y36,-44.452,23.802,-0.482,c4    ,0,0,1.855,0.585,11.1998130623726,0
DFC,3,DFC_3,2,y37,-43.681,27.097,-1.207,c4    ,0,3.295,1.13,0.585,14.5814013521354,3.38158828976283
DFC,3,DFC_3,3,y38,-44.197,28.477,-1.363,c3    ,0,4.675,0.974,0.585,15.7758252683342,4.57601220596163
DFC,3,DFC_3,4,y39waterline,-43.64,30.445,-1.932,c3    ,1,6.643,0.405,0.585,17.821061758517,6.62124869614449
DFC,3,DFC_3,5,y40,-42.597,32.321,-1.885,c3    ,1,8.519,0.452,0.585,19.9060910896591,8.70627802728655
DFC,3,DFC_3,6,y41,-42.183,33.941,-2.054,c2    ,1,10.139,0.283,0.585,21.5779007155517,10.3780876531791
DFC,3,DFC_3,7,y42,-41.192,36.609,-2.285,c2    ,1,12.807,0.052,0.585,24.4129856622347,13.2131725998621
DFC,3,DFC_3,8,y43,-40.229,39.905,-2.127,c2    ,1,16.103,0.21,0.585,27.8463108333044,16.6464977709318
DFC,3,DFC_3,9,y44,-39.319,42.48,-2.151,c2    ,1,18.678,0.186,0.585,30.570286741268,19.3704736788955
DFC,3,DFC_3,10,y45,-38.406,45.546,-2.12,c2    ,1,21.744,0.217,0.585,33.7685774202285,22.5687643578559
DFC,3,DFC_3,11,y46,-37.681,48.877,-1.984,c2    ,1,25.075,0.353,0.585,37.1727199472508,25.9729068848782
DFC,3,DFC_3,12,y47,-37.169,50.453,-2.302,c1    ,1,26.651,0.0350000000000001,0.585,38.8280109985337,27.6281979361611
DFC,3,DFC_3,13,y48,-37.094,50.911,-2.337,c1    ,1,27.109,0,0.585,39.2895401785797,28.0897271162071
DFC,3,DFC_3,14,y49,-37.369,51.745,-2.275,c2    ,1,27.943,0.0620000000000003,0.585,40.021130564992,28.8213175026195
DFC,3,DFC_3,15,y50,-36.655,53.238,-1.876,c2    ,1,29.436,0.461,0.585,41.6497931177322,30.4499800553596
DFC,3,DFC_3,16,y51waterline,-35.955,54.542,-1.752,cob    ,1,30.74,0.585,0.585,43.0924815059692,31.8926684435967
DFC,3,DFC_3,18,y52,-36.789,57.899,-1.016,cob    ,0,34.097,1.321,0.585,46.1094365354152,34.9096234730426
