Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS2,3,,1,209 waterline,61.546,-39.537,-0.501,cb    ,1,1.425,1.013285761,0
DFSS2,3,,2,210 waterline,60.359,-40.688,-0.652,bd    ,1,1.274,2.617868063,1.604582302
DFSS2,3,,3,211,59.663,-42.921,-1.073,bd    ,1,0.853,4.881179219,3.867893458
DFSS2,3,,4,212,59.742,-43.738,-1.354,bd    ,1,0.572,5.532842991,4.51955723
DFSS2,3,,5,213,59.274,-44.253,-0.847,bd    ,1,1.079,6.217422539,5.204136778
DFSS2,3,,6,214,57.7,-46.453,-0.962,bd    ,1,0.964,8.916991425,7.903705664
DFSS2,3,,7,215,56.361,-48.667,-1.091,bd    ,1,0.835,11.5041802,10.49089443
DFSS2,3,,8,216,55.415,-51.012,-1.243,bd    ,1,0.683,13.99474694,12.98146118
DFSS2,3,,9,217,54.215,-52.777,-1.499,bd    ,1,0.427,16.12734221,15.11405645
DFSS2,3,,10,218,53.101,-54.337,-1.681,bd    ,1,0.245,18.04046672,17.02718096
DFSS2,3,,11,219,52.936,-55.459,-1.926,bd    ,1,0,19.08002416,18.0667384
DFSS2,3,,12,220,51.312,-57.183,-1.435,cb    ,1,0.491,21.402022,20.38873624
DFSS2,3,,13,221,50.835,-57.785,-1.402,bd    ,1,0.524,22.1652027,21.15191694
DFSS2,3,,14,222,49.969,-58.606,-1.52,bd    ,1,0.406,23.31995645,22.30667068
DFSS2,3,,15,223,49.726,-59.107,-1.297,cb    ,1,0.629,23.87367837,22.8603926
DFSS2,3,,16,224,48.825,-60.358,-0.671,cb    ,1,1.255,25.41190628,24.39862052
DFSS2,3,,17, waterline 225,46.573,-63.778,0.141,cb    ,1,2.067,29.50547408,28.49218832
DFSS2,3,,18, above wl226,43.253,-68.413,0.272,cb    ,0,2.198,35.1950203,34.18173454
