Location,XS_Number,XS_ID,ORDER,TS_ID,Y,X,Z,CODE,Below_waterline,Normalized_Z,X_adj,Position
DFSS,9,DFSS_9,26,57,-2.117,-43.884,0.199,cob,1,1.142,43.884,51.39
DFSS,9,DFSS_9,25,58,-2.027,-40.212,-0.334,cob,1,0.609,40.212,47.718
DFSS,9,DFSS_9,24,59,-1.589,-39.032,-0.566,br,1,0.377,39.032,46.538
DFSS,9,DFSS_9,23,60,-0.357,-36.602,-0.6,br,1,0.343,36.602,44.108
DFSS,9,DFSS_9,22,61,-0.024,-34.722,-0.774,br,1,0.169,34.722,42.228
DFSS,9,DFSS_9,21,62,0.595,-32.607,-0.752,br,1,0.191,32.607,40.113
DFSS,9,DFSS_9,20,63,0.904,-30.785,-0.519,cob,1,0.424,30.785,38.291
DFSS,9,DFSS_9,19,64,1.376,-29.477,-0.825,cob,1,0.118,29.477,36.983
DFSS,9,DFSS_9,18,65,2.1,-27.694,-0.943,br,1,0,27.694,35.2
DFSS,9,DFSS_9,17,66,1.914,-25.949,-0.657,br,1,0.286,25.949,33.455
DFSS,9,DFSS_9,16,67,2.166,-24.133,-0.583,br,1,0.36,24.133,31.639
DFSS,9,DFSS_9,15,68,2.879,-21.613,-0.721,br,1,0.222,21.613,29.119
DFSS,9,DFSS_9,14,69,3.316,-20.195,-0.7,cob,1,0.243,20.195,27.701
DFSS,9,DFSS_9,13,70,3.452,-18.174,-0.695,cob,1,0.248,18.174,25.68
DFSS,9,DFSS_9,12,71,3.585,-16.679,-0.937,cob,1,0.006,16.679,24.185
DFSS,9,DFSS_9,11,72,3.751,-15.335,-0.875,br,1,0.068,15.335,22.841
DFSS,9,DFSS_9,10,73,4.247,-13.224,-0.763,br,1,0.18,13.224,20.73
DFSS,9,DFSS_9,9,74,4.352,-12.049,-0.712,br,1,0.231,12.049,19.555
DFSS,9,DFSS_9,8,75,4.647,-9.726,-0.68,cob,1,0.263,9.726,17.232
DFSS,9,DFSS_9,7,76,4.685,-7.564,-0.581,cob,1,0.362,7.564,15.07
DFSS,9,DFSS_9,6,77,4.913,-4.35,-0.403,br,1,0.54,4.35,11.856
DFSS,9,DFSS_9,5,78,4.996,-2.278,-0.406,br,1,0.537,2.278,9.784
DFSS,9,DFSS_9,4,79,4.75,0.052,-0.558,br,1,0.385,-0.052,7.454
DFSS,9,DFSS_9,3,80,4.774,2.086,-0.428,br,1,0.515,-2.086,5.42
DFSS,9,DFSS_9,2,81w,4.631,4.046,-0.332,br,1,0.611,-4.046,3.46
DFSS,9,DFSS_9,1,82,4.933,7.506,0.373,br,0,1.316,-7.506,0
