Lithology,SampleID,SampleLabel,3breaks,RebreakNumber,length,width,height,A,De2m,Demm,VolwithCup,Volcm3,DryMass,WetMass,SoakStart,break date,LoadNormaltoBed?,LMPa,Cup Weight,Notes,PKN,CorrectionFactor (F),IsMPa,Is50MPa,,Piston Area (A)
C1,C1-1,C1-1,1,0,6.5,7.2,3.1,22.32,0.002841873,53.30922119,171,143,307.4,308,12/2/2022,12/6/2022,1,12.67,27.65,,0.01201116,1.029258708,4.226494192,4.350155952,,1000
C1,C1-10,C1-10,1,0,6.7,5.1,2.9,14.79,0.001883123,43.39496373,111,83,246,247,12/7/2022,1/19/2023,1,5.5,,,0.005214,0.938234064,2.76880498,2.597787147,,
C1,C1-11,C1-11,0,0,7.5,4.2,3.8,15.96,0.002032092,45.07873146,111,83,243,246,1/19/2023,1/26/2023,1,4.87,,"broke slowly, difficult to tell when first fracture occurred, wet surfaces show planes of weakness",0.00461676,0.95444467,2.271924663,2.168426384,,
C1,C1-12,C1-12,0,0,6.9,5.5,2.9,15.95,0.002030819,45.06460684,114,86,236,239,1/20/2023,1/26/2023,1,1.09,,"broke on first pump, wet surfade shows pre-existing crack",0.00103332,0.954310082,0.508819401,0.485571484,,
C1,C1-13,C1-13,0,0,7.2,4.9,3.7,18.13,0.002308385,48.04565791,114,86,255,260,1/20/2023,1/26/2023,1,2.68,,"broke on second pump, wet surfaces show pre-existing crack",0.00254064,0.982217942,1.100613516,1.081042343,,
C1,C1-14,C1-14,0,0,6.7,5.7,4.3,24.51,0.003120713,55.86334004,147,119,379,382,1/19/2023,1/26/2023,1,3.46,,"broke on first pump, wet surface shows pre-existing crack",0.00328008,1.051164299,1.051067577,1.104844713,,
C1,C1-2,C1-2,1,0,7.4,8.2,3.6,29.52,0.003758606,61.30747353,179,152,513,514,12/2/2022,12/6/2022,1,8.32,,fracture plane noticeably wet after break IMG_4608,0.00788736,1.096085763,2.098479954,2.300114002,,
C1,C1-3,C1-3,1,0,6.9,7.3,5.2,37.96,0.004833221,69.52137365,205,177,583,584,12/2/2022,12/6/2022,1,16.39,,,0.01553772,1.159889864,3.214775143,3.728785103,,
C1,C1-4,C1-4,1,0,6.7,7.3,5.5,40.15,0.005112061,71.49867894,284,257,696,697,12/2/2022,12/6/2022,1,24.37,,broke between pumps,0.02310276,1.174620581,4.519265242,5.308421963,,
C1,C1-5,C1-5,0,0,10.2,7.2,3.9,28.08,0.00357526,59.79347507,216,189,530,531,12/2/2022,12/6/2022,1,10.8,,fractured at 2.31 - immediately rebroke for recorded result,0.0102384,1.083821359,2.863680115,3.103717675,,
C1,C1-6,C1-6,0,0,4,7,3.8,26.6,0.00338682,58.19639207,114,86,206.4,207,12/2/2022,12/6/2022,1,8.96,,,0.00849408,1.070697344,2.507980901,2.685288491,,
C1,C1-7,C1-7,1,0,13.1,6.4,3.3,21.12,0.002689084,51.85638042,141,113,332,333,12/2/2022,12/6/2022,1,7.49,,,0.00710052,1.016540036,2.64049747,2.684171394,,
C1,C1-8,C1-8,0,0,7.7,8.2,4.3,35.26,0.004489446,67.00333146,219,192,545,547,12/2/2022,12/6/2022,1,8.64,,fracture ~2cm away from point load contact,0.00819072,1.140793076,1.824438744,2.081307087,,
C1,C1-9,C1-9,1,0,5.2,9,4.3,38.7,0.004927441,70.19573491,189,161,477,479,12/2/2022,12/6/2022,1,18.49,,,0.01752852,1.164939374,3.557327077,4.144070379,,
C1,C1-1,C1-1-1,1,1,7.1,5.4,2.9,15.66,0.001993895,44.65304929,85,57,164,165,3/2/2023,4/5/2023,1,8.99,,,0.00852252,0.950378281,4.274307728,4.06220923,,
C1,C1-2,C1-2-2,1,1,8.3,5.4,3.8,20.52,0.00261269,51.11447694,117,89,298,300,2/28/2023,3/15/2023,,8.38,,,0.00794424,1.009969509,3.040636567,3.07095022,,
C1,C1-1,C1-1-2,1,1,6,4.7,2.9,13.63,0.001735427,41.65845611,90,62,143,145,3/2/2023,4/13/2023,1,8.84,,,0.00838032,0.921149085,4.828967261,4.448198772,,
C1,C1-10,C1-10-1,1,1,7.1,3.3,2.9,9.57,0.001218491,34.90689436,91,63,158,159,2/3/2023,3/1/2023,0,3.83,,,0.00363084,0.85069434,2.979783343,2.534884824,,
C1,C1-10,C1-10-2,1,1,5.8,3.1,2.9,8.99,0.001144643,33.83257776,78,50,85,86,3/2/2023,4/7/2023,0,3.51,,,0.00332748,0.83881133,2.907001639,2.438425911,,
C1,C1-12,C1-12-1,0,1,9.1,4.3,2.9,12.47,0.001587731,39.84634304,109,81,202,204,1/27/2023,3/1/2023,1,3.49,,,0.00330852,0.902897206,2.083803798,1.881460628,,
C1,C1-14,C1-14-1,0,1,5.2,4.9,4.3,21.07,0.002682718,51.79496102,82,54,142,143,2/3/2023,3/1/2023,0,--,,dropped,#VALUE!,1.015998058,#VALUE!,#VALUE!,,
C1,C1-14,C1-14-2,0,1,7.3,4.2,4.3,18.06,0.002299473,47.95281598,118,90,237,239,1/27/2023,3/1/2023,0,--,,dropped,#VALUE!,0.981363385,#VALUE!,#VALUE!,,
C1,C1-2,C1-2-1,1,1,7.8,4.1,3.3,13.53,0.001722695,41.50535579,89,61,214,215,3/2/2023,4/1/2023,0,10.11,,,0.00958428,0.919624137,5.563539949,5.116365625,,
C1,C1-3,C1-3-1,1,1,7.3,3.1,5.2,16.12,0.002052464,45.30412652,118,90,265,267,2/7/2023,3/1/2023,0,13.39,,,0.01269372,0.956589238,6.184625281,5.916145987,,
C1,C1-3,C1-3-2,1,1,6.9,4.9,5.2,25.48,0.003244217,56.95802929,145,117,312,314,2/7/2023,3/1/2023,0,15.24,,,0.01444752,1.06038415,4.453314792,4.722224421,,
C1,C1-4,C1-4-1,1,1,6.4,6.5,5.5,35.75,0.004551835,67.46728998,176,148,369,372,2/28/2023,3/7/2023,0,11.23,,,0.01064604,1.144341025,2.338845651,2.676437028,,
C1,C1-4,C1-4-2,1,1,6.5,6.7,5.3,35.51,0.004521277,67.24044499,132,104,322,323,2/7/2023,2/22/2023,1,8.93,,,0.00846564,1.142607995,1.872400026,2.139419239,,
C1,C1-5,C1-5-1,0,1,10.2,4.8,3.7,17.76,0.002261275,47.55286891,131,103,319,321,2/28/2023,3/14/2023,1,11.55,,,0.0109494,0.977671654,4.84213479,4.734017928,,
C1,C1-7,C1-7-1,1,1,9.1,4.2,3.2,13.44,0.001711235,41.36708104,94,66,77,167,3/2/2023,4/4/2023,1,8.3,,,0.0078684,0.918244198,4.598081614,4.222161762,,
C1,C1-7,C1-7-2,1,1,6.3,3.9,3.3,12.87,0.001638661,40.48037399,82,54,165,167,3/2/2023,4/2/2023,1,6.86,,,0.00650328,0.909334211,3.968655675,3.608834376,,
C1,C1-8,C1-8-1,0,1,8.5,7.4,4.2,31.08,0.003957232,62.90653263,201,173,499,500,2/28/2023,3/13/2023,1,18,,,0.017064,1.108859661,4.312105193,4.781519502,,
C1,C1-9,C1-9-1,1,1,8.2,4.1,4.4,18.04,0.002296926,47.92625667,116,88,220,222,3/2/2023,4/6/2023,0,9.88,,,0.00936624,0.981118754,4.077728093,4.000735506,,
C1,C1-9,C1-9-2,1,1,7.9,4.4,4.3,18.92,0.002408971,49.08127192,102,74,254,256,2/28/2023,3/18/2023,0,10.66,,,0.01010568,0.991689265,4.195018926,4.160155235,,
C2,C2-1,C2-1,0,0,8.2,4.1,4.6,18.86,0.002401332,49.0033857,130,102,384,385,1/20/2023,1/26/2023,1,8.01,,broke chip from edge,0.00759348,0.990980793,3.162195232,3.133674739,,
C2,C2-10,C2-10,1,0,6.6,4.1,3.2,13.12,0.001670492,40.87164902,85,57,223,224,1/20/2023,1/26/2023,1,4.06,,broke on second pump,0.00384888,0.913278997,2.30404019,2.104231514,,
C2,C2-11,C2-11,0,0,5.1,4,3.3,13.2,0.001680678,40.99606833,84,56,183,185,1/19/2023,1/26/2023,1,1.5,,broke on first pump,0.001422,0.914529021,0.846087307,0.773771397,,
C2,C2-2,C2-2,1,0,7.9,4.7,4.3,20.21,0.002573219,50.72690897,145,117,445,445,1/20/2023,1/26/2023,1,11.7,,,0.0110916,1.00651622,4.310398274,4.338485776,,
C2,C2-3,C2-3,1,0,9.7,8.9,5.4,48.06,0.006119194,78.22527993,223,195,587,591,1/19/2023,1/26/2023,1,12.93,,,0.01225764,1.223121794,2.003146028,2.450091564,,
C2,C2-4,C2-4,0,0,7.8,5.3,3.4,18.02,0.00229438,47.89968265,101,73,260,260,1/19/2023,1/26/2023,1,9.82,,broke along subhorizontal plane of weakness - wet surface,0.00930936,0.980873913,4.057462858,3.97985947,,
C2,C2-5,C2-5,0,0,8.7,5.4,3.3,17.82,0.002268915,47.63312697,150,122,327,328,12/7/2022,1/14/2023,1,13.37,,,0.01267476,0.978413845,5.586265329,5.465679342,,
